"Name","Ticker","FundId","Firm Name ID","Firm Name","Branding Name ID","Branding Name","Inception 
Date","Listing Date","Obsolete 
Date","Obsolete 
Type","Merged Into 
Security","Merged into 
Security ID","Converted From Date","Converted From Name","Converted From Date","Converted From Name","Investment Type","US Category Group","Morningstar Category","Index 
Fund","Fund of 
Funds","Active Non Transparent","Tax Managed","Advisor","Domicile","Manager Name","Oldest 
Share Class","Ticker of 
Fund's 
Oldest Share Class","Name of 
Fund's 
Oldest Share Class","Subadvised","Subadvisor","Sustainable Investment Overall 
2023-01","Sustainable Investment Overall","Sustainable Investment - Environmental Sector Overall 
2021-05","Sustainable Investment - ESG Fund Overall 
2021-05","Estimated Share Class Net Flow (Yearly) 
Year2019 
USD","Estimated Share Class Net Flow (Yearly) 
Year2020 
USD","Estimated Share Class Net Flow (Yearly) 
Year2021 
USD","Estimated Share Class Net Flow (Yearly) 
Year2022 
USD","Estimated Share Class Net Flow (Yearly) 
Year2023 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD","Net Assets - share class (Monthly) 
2020-01 
USD","Net Assets - share class (Monthly) 
2020-02 
USD","Net Assets - share class (Monthly) 
2020-03 
USD","Net Assets - share class (Monthly) 
2020-04 
USD","Net Assets - share class (Monthly) 
2020-05 
USD","Net Assets - share class (Monthly) 
2020-06 
USD","Net Assets - share class (Monthly) 
2020-07 
USD","Net Assets - share class (Monthly) 
2020-08 
USD","Net Assets - share class (Monthly) 
2020-09 
USD","Net Assets - share class (Monthly) 
2020-10 
USD","Net Assets - share class (Monthly) 
2020-11 
USD","Net Assets - share class (Monthly) 
2020-12 
USD","Net Assets - share class (Monthly) 
2021-01 
USD","Net Assets - share class (Monthly) 
2021-02 
USD","Net Assets - share class (Monthly) 
2021-03 
USD","Net Assets - share class (Monthly) 
2021-04 
USD","Net Assets - share class (Monthly) 
2021-05 
USD","Net Assets - share class (Monthly) 
2021-06 
USD","Net Assets - share class (Monthly) 
2021-07 
USD","Net Assets - share class (Monthly) 
2021-08 
USD","Net Assets - share class (Monthly) 
2021-09 
USD","Net Assets - share class (Monthly) 
2021-10 
USD","Net Assets - share class (Monthly) 
2021-11 
USD","Net Assets - share class (Monthly) 
2021-12 
USD","Net Assets - share class (Monthly) 
2022-01 
USD","Net Assets - share class (Monthly) 
2022-02 
USD","Net Assets - share class (Monthly) 
2022-03 
USD","Net Assets - share class (Monthly) 
2022-04 
USD","Net Assets - share class (Monthly) 
2022-05 
USD","Net Assets - share class (Monthly) 
2022-06 
USD","Net Assets - share class (Monthly) 
2022-07 
USD","Net Assets - share class (Monthly) 
2022-08 
USD","Net Assets - share class (Monthly) 
2022-09 
USD","Net Assets - share class (Monthly) 
2022-10 
USD","Net Assets - share class (Monthly) 
2022-11 
USD","Net Assets - share class (Monthly) 
2022-12 
USD","Net Assets - share class (Monthly) 
2023-01 
USD","Net Assets - share class (Monthly) 
2023-02 
USD","Net Assets - share class (Monthly) 
2023-03 
USD","Net Assets - share class (Monthly) 
2023-04 
USD","Net Assets - share class (Monthly) 
2023-05 
USD","Net Assets - share class (Monthly) 
2023-06 
USD","Net Assets - share class (Monthly) 
2023-07 
USD","Net Assets - share class (Monthly) 
2023-08 
USD","Net Assets - share class (Monthly) 
2023-09 
USD","Net Assets - share class (Monthly) 
2023-10 
USD","Net Assets - share class (Monthly) 
2023-11 
USD","Net Assets - share class (Monthly) 
2023-12 
USD"
"Columbia Global Infrastructure A","","FSUSA09G1K","0C00001YQG","Columbia Threadneedle","BN000008GG","Columbia Threadneedle","2009-02-19","","2020-07-10","Merged","Columbia Global Value A","US19766F8784","","","","","Open-End Fund","Sector Equity","US Fund Infrastructure","No","No","No","","Columbia Mgmt Investment Advisers, LLC","United States","","No","","Columbia Global Infrastructure I","No","","No","No","","","-8,790,544.72","","","","","72,238,143.00","73,389,401.00","74,676,575.00","75,936,503.00","73,463,552.00","77,574,056.00","76,507,266.00","77,000,489.00","77,300,469.00","76,948,740.00","75,729,107.00","77,031,418.00","77,918,457.00","72,066,208.00","59,840,692.00","62,224,128.00","64,784,974.00","63,417,880.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Columbia Global Infrastructure C","","FSUSA09G1K","0C00001YQG","Columbia Threadneedle","BN000008GG","Columbia Threadneedle","2009-02-19","","2020-07-10","Merged","Columbia Global Value C","US19766F8529","","","","","Open-End Fund","Sector Equity","US Fund Infrastructure","No","No","No","","Columbia Mgmt Investment Advisers, LLC","United States","","No","","Columbia Global Infrastructure I","No","","No","No","","","-8,264,915.60","","","","","21,971,357.00","21,903,475.00","21,659,194.00","21,682,145.00","20,512,667.00","20,235,432.00","19,279,459.00","18,995,086.00","18,234,860.00","17,818,476.00","17,460,778.00","17,528,163.00","17,378,036.00","16,007,861.00","12,711,541.00","12,732,825.00","12,882,465.00","12,334,586.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Columbia Global Infrastructure R","","FSUSA09G1K","0C00001YQG","Columbia Threadneedle","BN000008GG","Columbia Threadneedle","2009-02-19","","2020-07-10","Merged","Columbia Global Value R","US19766F8370","","","","","Open-End Fund","Sector Equity","US Fund Infrastructure","No","No","No","","Columbia Mgmt Investment Advisers, LLC","United States","","No","","Columbia Global Infrastructure I","No","","No","No","","","-169,165.74","","","","","636,868.00","661,139.00","733,410.00","653,408.00","549,615.00","595,914.00","550,971.00","550,632.00","553,490.00","541,072.00","568,967.00","604,464.00","622,271.00","556,778.00","466,589.00","499,402.00","441,379.00","402,415.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Columbia Global Infrastructure K","","FSUSA09G1K","0C00001YQG","Columbia Threadneedle","BN000008GG","Columbia Threadneedle","2009-02-19","","2018-03-09","Merged","Columbia Global Infrastructure Adv","US19766N8487","","","","","Open-End Fund","Sector Equity","US Fund Infrastructure","No","No","No","","Columbia Mgmt Investment Advisers, LLC","United States","","No","","Columbia Global Infrastructure I","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Columbia Global Infrastructure Inst2","","FSUSA09G1K","0C00001YQG","Columbia Threadneedle","BN000008GG","Columbia Threadneedle","2009-02-19","","2020-07-10","Merged","Columbia Global Value Inst2","US19766F7950","","","","","Open-End Fund","Sector Equity","US Fund Infrastructure","No","No","No","","Columbia Mgmt Investment Advisers, LLC","United States","","No","","Columbia Global Infrastructure I","No","","No","No","","","-30,936,458.80","","","","","34,838,003.00","36,219,083.00","37,442,365.00","38,710,852.00","3,447,423.00","3,558,310.00","3,524,247.00","3,572,188.00","3,770,226.00","3,760,911.00","3,753,357.00","5,982,488.00","6,051,727.00","5,802,797.00","5,006,590.00","6,284,479.00","6,198,743.00","6,215,145.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Salient EM Infrastructure Inv","","FSUSA08CFP","0C00009CAB","Salient Funds","BN00000DHC","Salient","2011-05-02","","2018-08-13","Liquidated","","","","","","","Open-End Fund","Sector Equity","US Fund Infrastructure","No","No","No","","Forward Management, LLC","United States","David L. Ruff","No","","Salient EM Infrastructure Instl","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Voya Emerging Markets Local Ccy Dbt P","","FS00009EOZ","0C00001Z4D","Voya","BN00000H8C","Voya","2012-08-06","","2022-06-30","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Voya Investments, LLC","United States","Brian Timberlake","Yes","","Voya Emerging Markets Local Ccy Dbt P","Yes","Voya Investment Management Co. LLC","No","No","","","11,902,261.93","-5,931,778.21","-3,384,860.81","","","75,107,050.00","74,237,831.00","73,198,355.00","72,964,406.00","73,073,984.00","77,266,162.00","99,508,883.00","97,193,956.00","88,406,552.00","90,839,801.00","88,846,544.00","92,452,365.00","90,463,010.00","87,670,960.00","75,878,471.00","78,950,754.00","83,602,214.00","83,500,328.00","85,765,128.00","85,558,136.00","83,922,090.00","83,971,677.00","89,269,442.00","86,303,838.00","80,696,200.00","78,519,153.00","75,580,520.00","77,284,490.00","79,079,011.00","78,337,591.00","77,825,939.00","78,507,227.00","75,739,079.00","74,927,352.00","72,964,442.00","73,673,101.00","73,986,912.00","72,211,608.00","70,948,440.00","67,278,757.00","68,406,337.00","65,507,957.00","","","","","","","","","","","","","","","","","",""
"Lord Abbett Emerging Markets Local Bd A","","FS00009ZQE","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2013-06-28","","2018-04-24","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Lord, Abbett & Co LLC","United States","David B. Ritt;Leah G. Traub;Giulio A. Martini;","No","","Lord Abbett Emerging Markets Local Bd I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Emerging Markets Local Bd C","","FS00009ZQE","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2013-06-28","","2018-04-24","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Lord, Abbett & Co LLC","United States","David B. Ritt;Leah G. Traub;Giulio A. Martini;","No","","Lord Abbett Emerging Markets Local Bd I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Emerging Markets Local Bd F","","FS00009ZQE","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2013-06-28","","2018-04-24","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Lord, Abbett & Co LLC","United States","David B. Ritt;Leah G. Traub;Giulio A. Martini;","No","","Lord Abbett Emerging Markets Local Bd I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Emerging Markets Local Bd I","","FS00009ZQE","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2013-06-28","","2018-04-24","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Lord, Abbett & Co LLC","United States","David B. Ritt;Leah G. Traub;Giulio A. Martini;","Yes","","Lord Abbett Emerging Markets Local Bd I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Emerging Markets Local Bd R2","","FS00009ZQE","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2013-06-28","","2018-04-24","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Lord, Abbett & Co LLC","United States","David B. Ritt;Leah G. Traub;Giulio A. Martini;","No","","Lord Abbett Emerging Markets Local Bd I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Emerging Markets Local Bd R3","","FS00009ZQE","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2013-06-28","","2018-04-24","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Lord, Abbett & Co LLC","United States","David B. Ritt;Leah G. Traub;Giulio A. Martini;","No","","Lord Abbett Emerging Markets Local Bd I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Delaware Ivy EmMktsLclCcyDbtA","","FS0000AF50","0C0000BBEQ","Delaware Funds by Macquarie","BN000009CG","Macquarie","2014-04-30","","2023-08-31","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Delaware Management Company","United States","","No","","Delaware Ivy EmMktsLclCcyDbtI","Yes","Macquarie Investment Management Global Limited;Macquarie Investment Management Austria Kapitalanlage AG;Macquarie Investment Management Europe Limited;","No","No","","","-2,890,499.30","-3,533,692.60","-3,495,158.90","-499,216.58","","11,623,113.00","11,041,901.00","10,557,472.00","10,256,680.00","9,808,020.00","10,315,794.00","10,203,686.00","9,007,095.00","8,904,448.00","9,124,324.00","8,792,481.00","9,039,471.00","8,887,573.00","8,473,525.00","7,367,230.00","7,628,965.00","8,059,113.00","8,023,746.00","8,195,910.00","8,146,192.00","7,857,780.00","7,789,593.00","5,530,515.00","5,709,743.00","5,580,503.00","5,446,237.00","5,429,592.00","5,538,135.00","2,978,977.00","2,888,234.00","2,856,666.00","2,851,505.00","2,676,073.00","2,493,105.00","1,959,194.00","1,880,874.00","1,782,803.00","1,655,886.00","1,621,652.00","1,485,058.00","1,425,317.00","1,313,562.00","1,308,132.00","1,256,647.00","1,164,781.00","1,149,740.00","1,185,532.00","1,154,236.00","1,188,543.00","1,147,671.00","1,146,323.00","1,141,790.00","1,085,141.00","1,104,318.00","983,541.00","668,604.00","","","",""
"Delaware Ivy EmMktsLclCcyDbtC","","FS0000AF50","0C0000BBEQ","Delaware Funds by Macquarie","BN000009CG","Macquarie","2014-04-30","","2023-08-31","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Delaware Management Company","United States","","No","","Delaware Ivy EmMktsLclCcyDbtI","Yes","Macquarie Investment Management Global Limited;Macquarie Investment Management Austria Kapitalanlage AG;Macquarie Investment Management Europe Limited;","No","No","","","-65,929.13","-121,709.64","-1,801,026.54","-16,560.18","","1,996,441.00","1,983,767.00","1,904,520.00","1,880,311.00","1,869,040.00","1,964,380.00","1,988,615.00","1,904,320.00","1,912,552.00","1,967,927.00","1,927,670.00","1,989,223.00","1,952,770.00","1,870,424.00","1,589,719.00","1,658,401.00","1,759,404.00","1,751,642.00","1,810,659.00","1,807,798.00","1,760,969.00","1,746,808.00","1,844,798.00","1,928,256.00","1,892,966.00","1,846,835.00","1,812,619.00","1,829,609.00","98,084.00","96,726.00","94,326.00","95,165.00","86,623.00","85,100.00","82,860.00","79,322.00","79,368.00","75,419.00","73,862.00","67,559.00","68,971.00","64,753.00","64,209.00","64,240.00","61,357.00","59,527.00","54,664.00","51,834.00","54,220.00","52,456.00","54,772.00","55,296.00","52,378.00","54,463.00","54,305.00","45,913.00","","","",""
"Ivy Pictet Emerging Mkts Lcl Ccy Dbt E","","FS0000AF50","0C0000BBEQ","Delaware Funds by Macquarie","BN000009CG","Macquarie","2014-04-30","","2020-06-19","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Delaware Management Company","United States","","No","","Delaware Ivy EmMktsLclCcyDbtI","Yes","Macquarie Investment Management Global Limited;Macquarie Investment Management Austria Kapitalanlage AG;Macquarie Investment Management Europe Limited;","No","No","","","-16,311.86","","","","","1,751,130.00","1,738,580.00","1,693,056.00","1,680,793.00","1,674,043.00","1,773,700.00","1,790,173.00","1,724,061.00","1,737,849.00","1,789,461.00","1,752,829.00","1,806,053.00","1,784,367.00","1,726,021.00","1,508,291.00","1,574,443.00","1,672,340.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Delaware Ivy EmMktsLclCcyDbtI","","FS0000AF50","0C0000BBEQ","Delaware Funds by Macquarie","BN000009CG","Macquarie","2014-04-30","","2023-08-31","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Delaware Management Company","United States","","Yes","","Delaware Ivy EmMktsLclCcyDbtI","Yes","Macquarie Investment Management Global Limited;Macquarie Investment Management Austria Kapitalanlage AG;Macquarie Investment Management Europe Limited;","No","No","","","-4,842,036.20","-50,494,435.10","-8,131,667.49","-9,325,152.63","","81,914,043.00","84,982,439.00","80,987,025.00","80,310,233.00","80,416,282.00","83,393,705.00","83,032,546.00","78,471,926.00","78,352,237.00","79,371,465.00","77,838,489.00","80,888,028.00","79,058,070.00","74,870,087.00","62,757,486.00","63,975,144.00","68,784,732.00","68,483,184.00","69,937,283.00","30,089,621.00","28,181,935.00","27,812,435.00","28,589,940.00","29,244,235.00","28,400,952.00","30,208,243.00","29,526,620.00","29,872,002.00","30,499,389.00","32,215,044.00","31,171,227.00","29,683,203.00","27,846,431.00","23,634,451.00","20,151,962.00","18,371,260.00","17,481,666.00","15,846,655.00","14,448,253.00","12,446,738.00","11,736,985.00","9,605,649.00","8,782,862.00","8,167,407.00","7,273,413.00","7,144,920.00","7,155,186.00","6,898,250.00","6,719,781.00","5,985,690.00","5,648,854.00","5,554,405.00","5,178,431.00","5,144,919.00","5,139,014.00","3,017,336.00","","","",""
"Ivy Pictet Emerging Mkts Lcl Ccy Dbt R","","FS0000AF50","0C0000BBEQ","Delaware Funds by Macquarie","BN000009CG","Macquarie","2014-04-30","","2020-06-19","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Delaware Management Company","United States","","No","","Delaware Ivy EmMktsLclCcyDbtI","Yes","Macquarie Investment Management Global Limited;Macquarie Investment Management Austria Kapitalanlage AG;Macquarie Investment Management Europe Limited;","No","No","","","-15,478.70","","","","","1,736,492.00","1,723,465.00","1,677,643.00","1,664,889.00","1,657,583.00","1,755,627.00","1,771,270.00","1,705,218.00","1,718,183.00","1,768,555.00","1,731,725.00","1,784,729.00","1,762,641.00","1,704,405.00","1,488,778.00","1,553,505.00","1,649,478.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Delaware Ivy EmMktsLclCcyDbtY","","FS0000AF50","0C0000BBEQ","Delaware Funds by Macquarie","BN000009CG","Macquarie","2014-04-30","","2023-08-31","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Delaware Management Company","United States","","No","","Delaware Ivy EmMktsLclCcyDbtI","Yes","Macquarie Investment Management Global Limited;Macquarie Investment Management Austria Kapitalanlage AG;Macquarie Investment Management Europe Limited;","No","No","","","-289,962.50","-2,452,773.36","231.01","-158.64","","2,902,965.00","2,881,852.00","2,806,031.00","2,785,204.00","2,773,571.00","2,915,724.00","2,930,764.00","2,590,978.00","2,611,742.00","2,688,902.00","2,633,490.00","2,713,918.00","2,680,945.00","2,592,925.00","2,265,570.00","2,364,605.00","2,511,291.00","2,515,476.00","2,601,641.00","2,601,370.00","2,543,984.00","2,568,021.00","261,588.00","273,361.00","268,493.00","262,274.00","257,899.00","260,501.00","268,354.00","264,797.00","258,341.00","260,456.00","254,915.00","250,575.00","244,146.00","247,232.00","247,539.00","235,367.00","231,895.00","216,997.00","221,675.00","210,791.00","209,154.00","208,733.00","198,268.00","197,362.00","211,927.00","215,478.00","224,688.00","216,699.00","225,558.00","227,026.00","223,091.00","231,249.00","237,500.00","34.00","","","",""
"Delaware Ivy EmMktsLclCcyDbtR6","","FS0000AF50","0C0000BBEQ","Delaware Funds by Macquarie","BN000009CG","Macquarie","2015-01-30","","2023-08-31","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Delaware Management Company","United States","","No","","Delaware Ivy EmMktsLclCcyDbtI","Yes","Macquarie Investment Management Global Limited;Macquarie Investment Management Austria Kapitalanlage AG;Macquarie Investment Management Europe Limited;","No","No","","","-8,592,507.89","-11,902,535.95","523,263.05","-5,001,546.72","","41,654,452.00","38,500,178.00","36,715,255.00","35,668,356.00","38,111,673.00","38,361,355.00","37,892,604.00","34,570,541.00","34,132,712.00","34,480,442.00","34,624,688.00","35,405,650.00","34,495,564.00","33,839,300.00","26,304,337.00","19,781,015.00","20,746,521.00","20,289,174.00","21,210,030.00","20,899,854.00","20,139,636.00","20,009,873.00","21,404,865.00","22,701,122.00","22,068,821.00","32,179,194.00","31,231,028.00","31,418,717.00","34,714,206.00","33,843,279.00","32,734,821.00","22,296,703.00","21,501,080.00","20,811,056.00","21,139,220.00","21,002,372.00","20,658,073.00","18,407,452.00","17,658,888.00","16,453,152.00","17,039,361.00","14,834,178.00","14,415,908.00","14,034,191.00","13,672,503.00","13,482,267.00","13,865,472.00","13,530,489.00","13,897,721.00","12,665,130.00","12,836,475.00","12,522,667.00","11,762,694.00","11,971,798.00","12,056,366.00","11,671,768.00","","","",""
"Lord Abbett Emerging Markets Local Bd R4","","FS00009ZQE","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2015-06-30","","2018-04-24","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Lord, Abbett & Co LLC","United States","David B. Ritt;Leah G. Traub;Giulio A. Martini;","No","","Lord Abbett Emerging Markets Local Bd I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Emerging Markets Local Bd R5","","FS00009ZQE","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2015-06-30","","2018-04-24","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Lord, Abbett & Co LLC","United States","David B. Ritt;Leah G. Traub;Giulio A. Martini;","No","","Lord Abbett Emerging Markets Local Bd I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Emerging Markets Local Bd R6","","FS00009ZQE","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2015-06-30","","2018-04-24","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Lord, Abbett & Co LLC","United States","David B. Ritt;Leah G. Traub;Giulio A. Martini;","No","","Lord Abbett Emerging Markets Local Bd I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Emerging Markets Local Bd F3","","FS00009ZQE","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2017-04-04","","2018-04-24","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Lord, Abbett & Co LLC","United States","David B. Ritt;Leah G. Traub;Giulio A. Martini;","No","","Lord Abbett Emerging Markets Local Bd I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackRock Emerging Markets Lcl Ccy BdIns","","FS0000D70B","0C000034YC","BlackRock","BN0000088H","BlackRock","2017-07-27","","2019-03-15","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","BlackRock Advisors, LLC","United States","","No","","BlackRock Emerging Markets Lcl Ccy Bd K","Yes","BlackRock International Limited","","","","","","","","","","43,779.00","43,148.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackRock Emerging Markets Lcl Ccy Bd K","","FS0000D70B","0C000034YC","BlackRock","BN0000088H","BlackRock","2017-07-27","","2019-03-15","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","BlackRock Advisors, LLC","United States","","Yes","","BlackRock Emerging Markets Lcl Ccy Bd K","Yes","BlackRock International Limited","","","","","","","","","","21,845,863.00","21,531,292.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PIMCO Em Mkts Ccy and S/T Invsmt C","","FSUSA06ALT","0C00004ALK","PIMCO","BN000009NK","PIMCO","2005-05-31","","2018-10-31","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Pacific Investment Management Company, LLC","United States","Pramol Dhawan;Michael Davidson;","No","PLMIX","PIMCO Em Mkts Ccy and S/T Invsmt Instl","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PIMCO Emerging Markets Currency D","","FSUSA06ALT","0C00004ALK","PIMCO","BN000009NK","PIMCO","2005-05-31","","2018-03-23","Merged","PIMCO Em Mkts Ccy and S/T Invsmt A","US72201F1021","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Pacific Investment Management Company, LLC","United States","Pramol Dhawan;Michael Davidson;","No","PLMIX","PIMCO Em Mkts Ccy and S/T Invsmt Instl","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PIMCO Emerging Local Bond Adm","","FSUSA07NOC","0C00004ALK","PIMCO","BN000009NK","PIMCO","2007-10-16","","2018-10-31","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Pacific Investment Management Company, LLC","United States","Pramol Dhawan;Michael Davidson;","No","PELBX","PIMCO Emerging Mkts Lcl Ccy and Bd Instl","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PIMCO Emerging Markets Currency Admin","","FSUSA06ALT","0C00004ALK","PIMCO","BN000009NK","PIMCO","2006-09-29","","2018-01-31","Liquidated","","","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Pacific Investment Management Company, LLC","United States","Pramol Dhawan;Michael Davidson;","No","PLMIX","PIMCO Em Mkts Ccy and S/T Invsmt Instl","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PIMCO Emerging Local Bond D","","FSUSA07NOC","0C00004ALK","PIMCO","BN000009NK","PIMCO","2007-07-31","","2018-03-23","Merged","PIMCO Emerging Mkts Lcl Ccy and Bd A","US72201F4256","","","","","Open-End Fund","Taxable Bond","US Fund Emerging-Markets Local-Currency Bond","No","No","No","","Pacific Investment Management Company, LLC","United States","Pramol Dhawan;Michael Davidson;","No","PELBX","PIMCO Emerging Mkts Lcl Ccy and Bd Instl","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
